gene_symbol,log2FoldChange,pvalue
Ier5,-0.049768141,0.980699013
Prorsd1,0.017296466,0.99999707
Gm8539,-0.010824817,0.99999707
Kif1b,0.011514776,0.99999707
Epgn,-0.00139054,0.99999707
Gm12727,0.015522571,0.99999707
Sapcd1,-0.116588107,0.99999707
9430034N14Rik,-0.008040408,0.99999707
Gm15784,0.046425428,0.99999707
Gm13527,-0.064798165,0.99999707
Ogg1,0.018996914,0.99999707
Trim36,-0.073406356,0.99999707
Map3k13,0.014907349,0.99999707
Gm8824,0.048741222,0.99999707
RP23-9A12.5,-0.084174779,0.99999707
Gm45053,-0.037416828,0.99999707
Nfic,-0.015545064,0.99999707
Zfp61,-0.276762327,0.005200289
Cacna1d,-0.045600449,0.99999707
Zfp408,0.047867622,0.99999707
Wars2,0.107531877,0.725267256
Med4,-0.04696991,0.99999707
Nat2,0.024702503,0.99999707
Nudt18,-0.075206131,0.99999707
